time,Irms,VibrationMag
1720.796,0.29642731,0.047219221
1721.796,0.303793579,0.058827329
1722.796,0.290778786,0.025240267
1723.796,0.3066293,0.042795643
1724.796,0.312752426,0.050909061
1725.795,0.315013826,0.055562068
1726.797,0.313657999,0.019764457
1727.796,0.314141482,0.041569512
1728.795,0.301288456,0.046680123
1729.797,0.298120856,0.042150181
1730.797,0.287763864,0.05389766
1731.796,0.275935262,0.060977068
1732.795,0.255887896,0.053297237
1733.797,0.2452683,0.033877835
1734.796,0.245620981,0.05475086
1735.797,0.316499114,0.04281649
1736.795,0.238893226,0.044375569
1737.796,0.302809894,0.054233711
1738.796,0.258203745,0.036582708
1739.797,0.311185151,0.037734512
1740.796,0.255337358,0.036174744
1741.796,0.282461107,0.02376675
1742.796,0.257521451,0.061211299
1743.797,0.257528514,0.052204993
1744.794,0.252250403,0.042011861
1745.796,0.245424822,0.031327143
1746.797,0.239797443,0.064442605
1747.797,0.31349209,0.061029296
1748.796,0.246539965,0.041839551
1749.796,0.304806143,0.028945766
1750.796,0.256563038,0.069042377
1751.797,0.312296122,0.064140476
1752.796,0.257476747,0.036904227
1753.796,0.308541209,0.032854244
1754.797,0.282889724,0.05361535
1755.795,0.245580062,0.050760027
1756.796,0.312063813,0.049185675
1757.797,0.307955325,0.049487706
1758.796,0.318894863,0.047500204
1759.796,0.312442392,0.050821077
1760.797,0.31533289,0.04975399
1761.796,0.30768019,0.033573478
1762.797,0.326485038,0.06718114
1763.795,0.308748066,0.069526248
1764.796,0.313740283,0.035918247
1765.796,0.241220117,0.046273664
1766.797,0.31653142,0.059723023
1767.796,0.273035318,0.066209905
1768.796,0.319967091,0.058102399
1769.797,0.318301261,0.046585143
1770.796,0.308088183,0.046484355
1771.796,0.302005649,0.068840407
1772.796,0.317345947,0.051472932
1773.796,0.279640466,0.064316273
1774.796,0.324990034,0.052765176
1775.796,0.232105121,0.055978965
1776.797,0.299215317,0.024233272
1777.796,0.313983858,0.044752717
1778.796,0.258499444,0.039090302
1779.796,0.310419083,0.04376724
1780.796,0.242603719,0.051242501
1781.797,0.316660494,0.064868338
1782.796,0.238718972,0.044817228
1783.797,0.27056253,0.074608572
1784.797,0.229103595,0.084140994
1785.796,0.23288998,0.06100696
1786.796,0.237990424,0.048786845
1787.797,0.312691778,0.03269108
1788.797,0.245083973,0.048751831
1789.796,0.320182324,0.049746957
1790.796,0.250926554,0.0491984
1791.797,0.314944297,0.048885208
1792.796,0.291016191,0.025176898
1793.796,0.296052009,0.050117556
1794.796,0.306684673,0.038773566
1795.796,0.22960721,0.067123182
1796.797,0.314837217,0.038520951
1797.795,0.30171749,0.044567496
1798.797,0.324104756,0.054786939
1799.797,0.32464239,0.031752568
1800.796,0.323947221,0.031409193
1801.796,0.318653941,0.065999217
1802.796,0.309292764,0.06867379
1803.796,0.318499833,0.045761462
1804.796,0.313598394,0.042603571
1805.797,0.31603086,0.060263444
1806.796,0.310033441,0.062409531
1807.796,0.307770163,0.064556569
1808.797,0.308984727,0.042810354
1809.796,0.310494512,0.044214297
1810.797,0.313530296,0.042717349
1811.796,0.318715662,0.041696239
1812.796,0.318155676,0.058312129
1813.797,0.310228378,0.054544091
1814.796,0.316806942,0.053526208
1815.797,0.322705239,0.041857492
1816.796,0.319771051,0.061011542
1817.796,0.313459724,0.047141682
1818.796,0.291150838,0.060726199
1819.797,0.258354932,0.066118032
1820.796,0.251480877,0.050268337
1821.797,0.234979078,0.049095869
1822.796,0.242204949,0.037869882
1823.796,0.248012647,0.044159602
1824.797,0.257968396,0.052774146
1825.795,0.277900428,0.043885801
1826.796,0.282383055,0.053526361
1827.795,0.300042421,0.057139125
1828.797,0.314308971,0.064513773
1829.796,0.321934313,0.028663099
1830.796,0.329088092,0.046165396
1831.797,0.314969063,0.048775818
1832.797,0.309018493,0.049609315
1833.796,0.302119345,0.040820621
1834.797,0.292323381,0.034082983
1835.795,0.313824922,0.049751151
